city	lat	lng
Jerusalem	31.7789	35.2256
Haifa	32.8192	34.9992
Tel Aviv-Yafo	32.08	34.78
Rishon LeZiyyon	31.95	34.8
Petah Tiqwa	32.0833	34.8833
Ashdod	31.7978	34.6503
Netanya	32.3286	34.8567
Beersheba	31.2522	34.7867
Hebron	31.5293	35.0938
Holon	32.0167	34.7667
Bene Beraq	32.0807	34.8338
Ramat Gan	32.07	34.8235
Nablus	32.2199	35.2636
Ashqelon	31.6658	34.5664
Rehovot	31.8914	34.8078
Bat Yam	32.0231	34.7503
Bet Shemesh	31.7514	34.9886
Kefar Sava	32.1858	34.9077
Modi`in Makkabbim Re`ut	31.9339	34.9856
Hadera	32.45	34.9167
Herzliyya	32.1556	34.8422
Nazareth	32.7019	35.3033
Lod	31.95	34.9
Ramla	31.9275	34.8625
Ra`ananna	32.1833	34.8667
Qiryat Gat	31.61	34.7642
Tulkarm	32.3104	35.0286
Rahat	31.3925	34.7544
Yattir	31.4333	35.0833
Afula	32.6064	35.2881
Nahariyya	33.0058	35.0989
Givatayim	32.0697	34.8117
Hod HaSharon	32.15	34.8833
Rosh Ha`Ayin	32.0833	34.95
Qiryat Ata	32.8	35.1
Umm el Fahm	32.5194	35.1536
Eilat	29.55	34.95
Qalqilyah	32.1897	34.9706
Nes Ziyyona	31.9333	34.8
Janin	32.4594	35.3009
`Akko	32.9278	35.0817
El`ad	32.0523	34.9512
Ramat HaSharon	32.1461	34.8394
Karmiel	32.9136	35.2961
Tiberias	32.7944	35.5333
Et Taiyiba	32.2667	35
Ben Zakkay	31.8833	34.7333
Pardes Hanna Karkur	32.4711	34.9675
Qiryat Mozqin	32.8333	35.0833
Qiryat Ono	32.0636	34.8553
Shefar`am	32.8056	35.1694
Qiryat Bialik	32.8333	35.0833
Qiryat Yam	32.8333	35.0667
Ramallah	31.9026	35.1955
Or Yehuda	32.0333	34.85
Az Zahiriyah	31.4097	34.9733
Zefat	32.9658	35.4983
Dimona	31.07	35.03
Tamra	32.8536	35.1978
Netivot	31.4167	34.5833
Sakhnin	32.8667	35.3
Be'er Ya`aqov	31.9436	34.8392
Yehud	32.0333	34.8833
Ofaqim	31.2833	34.6167
Bethlehem	31.7049	35.2038
Kefar Yona	32.3171	34.9358
Rama	32.8511	35.3386
Baytunya	31.8966	35.1705
Gedera	31.8139	34.7783
Et Tira	32.2328	34.9503
Idhna	31.5587	34.9744
Migdal Ha`Emeq	32.6714	35.2406
Giv`at Shemu'el	32.0781	34.8489
Qabatiyah	32.4104	35.2809
Arad	31.2603	35.2147
Yoqne`am `Illit	32.6594	35.11
Nesher	32.7711	35.0394
Ma`alot Tarshiha	33.0167	35.2708
Qiryat Mal'akhi	31.7333	34.75
Sederot	31.525	34.5969
Qiryat Shemona	33.2075	35.5697
Gan Yavne	31.7886	34.7053
Tirat Karmel	32.7667	34.9667
Kafr Qasim	32.1142	34.9772
Qalansuwa	32.285	34.9811
Jericho	31.8571	35.4603
Bet She'an	32.5	35.5
Or `Aqiva	32.5	34.9167
Bayt Ummar	31.6233	35.1045
Ya`bad	32.4457	35.1682
Jisr ez Zarqa	32.5381	34.9122
Bayt Jala	31.7155	35.1879
Bayt Sahur	31.7009	35.2263
Abu Dis	31.7622	35.2617
Majdal Shams	33.2667	35.7667
Atlit	32.6872	34.9383
Gaza	31.5069	34.456
Khan Yunis	31.3402	34.3063
Jabalya	31.5272	34.4835
Rafah	31.287	34.2595
Bayt Lahya	31.5464	34.4951
Dayr al Balah	31.4178	34.3503
Bani Suhayla	31.3434	34.3234
`Abasan al Kabirah	31.3191	34.3401
Az Zuwaydah	31.4395	34.3805
